Number,State,Value,Param learning_rate,Param max_depth,Param n_estimators,Param reg_alpha,Param reg_lambda
115,COMPLETE,0.9533271850105354,0.058794196001108426,8,120,0.1,0.1
116,COMPLETE,0.9535980039909203,0.06773592091531967,8,120,0.1,0.1
117,COMPLETE,0.9535979124980214,0.07136081535295623,8,120,0.001,0.1
118,COMPLETE,0.9537335049740113,0.1,8,88,0.1,0.001
119,COMPLETE,0.9522459219327691,0.07677125410339826,2,120,0.001,0.1
120,COMPLETE,0.9529217799760472,0.03711104312852061,8,89,0.1,0.001
121,COMPLETE,0.9531920499990394,0.06621684860291596,8,120,0.001,0.1
122,COMPLETE,0.9527868279503486,0.07285079495780789,8,120,0.1,0.1
123,COMPLETE,0.9526513269672575,0.08011323497980215,8,120,0.001,0.001
124,COMPLETE,0.9522455559611742,0.1,8,75,0.001,0.1
125,COMPLETE,0.9521096890064878,0.08265648764747925,8,94,0.001,0.1
126,COMPLETE,0.9537334134811127,0.1,8,90,0.1,0.001
127,COMPLETE,0.9522462879043643,0.1,5,100,0.09999999999999999,0.001
128,COMPLETE,0.9503522019138485,0.08969418054378124,2,63,0.001,0.001
129,COMPLETE,0.9533280084466245,0.07286785224817438,8,83,0.1,0.001
130,COMPLETE,0.9531925074635332,0.059935678703495046,8,120,0.001,0.1
131,COMPLETE,0.9535980954838191,0.09313966822479418,8,90,0.1,0.1
132,COMPLETE,0.9526514184601561,0.09309143493820622,8,90,0.1,0.1
133,COMPLETE,0.9534628689794241,0.06531736373688032,8,120,0.1,0.05720811240976509
134,COMPLETE,0.9535980039909202,0.08121329017836011,8,120,0.1,0.001
135,COMPLETE,0.9522452814824778,0.08403897034976557,8,120,0.1,0.049126099499344496
136,COMPLETE,0.9426400824899975,0.04067767600409237,8,20,0.09999999999999999,0.001
137,COMPLETE,0.9523808739584678,0.0398903214436726,8,78,0.001,0.1
138,COMPLETE,0.9550864104682514,0.1,8,62,0.1,0.001
139,COMPLETE,0.9542747769631859,0.1,8,56,0.1,0.001
140,COMPLETE,0.9541396419516899,0.1,8,57,0.1,0.001
141,COMPLETE,0.952110786921273,0.0717803029940992,8,54,0.001,0.1
142,COMPLETE,0.9521101464709817,0.1,8,59,0.1,0.1
143,COMPLETE,0.9519751944452832,0.1,8,58,0.001,0.001
144,COMPLETE,0.9503520189280508,0.09088682622077018,8,33,0.1,0.001
145,COMPLETE,0.9502167009307574,0.1,2,58,0.1,0.001
146,COMPLETE,0.9488637954365172,0.040858240696488024,2,72,0.001,0.001
147,COMPLETE,0.9518395104763944,0.05565347648975656,8,80,0.001,0.1
148,COMPLETE,0.9531923244777356,0.07928064255218165,8,57,0.1,0.1
149,COMPLETE,0.9525165579273566,0.07041440969247066,8,52,0.1,0.001
